from,to,weight
23,150,4.16603
24,36,2.26274
24,79,0.0385156
24,102,1.12236
24,127,2.83354
24,128,2.36446
24,139,4.42632
24,140,4.40798
24,145,5.17144
25,89,0.61293
25,117,0.840843
25,122,2.27947
25,137,2.94017
25,141,3.45397
25,143,3.91135
25,144,4.20816
25,146,4.39731
26,113,1.30456
26,116,1.02986
26,130,2.545
26,135,2.37652
26,136,3.58517
26,147,4.1199
26,148,4.38892
26,149,4.59992
27,57,0.195197
27,121,3.21179
27,127,2.32999
27,128,1.8609
27,134,3.25544
27,139,3.92276
27,142,4.13251
27,145,4.66788
28,111,0.545074
28,129,2.11048
28,131,2.48259
28,144,4.46264
28,147,4.46335
28,149,4.94338
28,150,4.98681
29,90,1.0488
29,91,0.99815
29,137,2.8285
29,138,3.30748
29,143,3.79967
29,144,4.09648
29,146,4.28564
29,147,8.07014
30,75,0.87586
30,91,1.2369
30,121,1.34537
30,137,3.30256
30,143,4.27373
30,144,4.57054
30,146,4.75969
30,147,8.07014
31,50,1.03113
31,77,4.15692
31,102,1.31663
31,108,1.69629
31,122,2.17113
31,134,3.95328
31,142,4.83034
31,145,5.36572
32,78,1.38569
32,95,0.27072
32,96,0.35684
32,133,3.28634
32,136,3.27468
32,139,4.14979
32,140,4.13145
32,145,4.89491
33,84,0.298606
33,108,1.58478
33,112,1.22853
33,133,3.64563
33,136,3.63398
33,142,4.71883
33,145,5.25421
33,150,2.63717
34,39,0.139693
34,122,0.874632
34,133,2.46064
34,134,2.65678
34,139,3.3241
34,140,3.30576
34,142,3.53385
34,145,4.06922
35,94,0.659778
35,112,2.77084
35,125,1.52
35,130,2.57252
35,131,2.16665
35,147,4.14741
35,149,4.62744
35,150,4.67087
36,123,0.687394
36,137,2.49805
36,138,2.97703
36,141,3.01184
36,143,3.46922
36,144,3.76603
36,146,3.95518
37,87,4.68722
37,133,2.79562
37,134,2.99176
37,136,2.78397
37,139,3.65908
37,140,3.64074
37,142,3.86883
38,73,0.196182
38,80,0.251536
38,123,1.10893
38,137,2.91959
38,141,3.43338
38,143,3.89076
38,144,4.18757
38,146,4.37672
39,57,0.617203
39,60,3.16228
39,112,2.51997
39,134,5.13321
39,136,4.92542
39,145,6.54565
40,92,1.50068
40,97,0.918657
40,106,0.799112
40,124,2.68199
40,131,3.3409
40,133,2.51233
40,147,5.32166
40,149,5.80169
41,103,3.19992
41,104,0.402272
41,119,1.73786
41,129,1.9191
41,130,2.69707
41,147,4.27196
41,148,4.54098
41,150,4.79542
42,46,2.7
42,95,0.317871
42,103,0.187438
42,128,2.13508
42,139,4.19694
42,140,4.1786
42,142,4.40669
42,145,4.94206
43,94,0.858751
43,100,1.04103
43,113,1.53105
43,124,1.70672
43,148,4.6154
43,149,4.82641
43,150,4.86984
44,117,0.945902
44,126,1.71987
44,132,2.23284
44,137,3.04523
44,138,3.52421
44,143,4.0164
44,144,4.31321
44,146,4.50237
44,150,3.07443
45,84,4.68722
45,92,1.02696
45,104,0.97825
45,120,2.03187
45,125,2.22053
45,129,2.49508
45,147,4.84794
45,149,5.32797
45,150,5.3714
46,97,0.983669
46,98,1.6222
46,100,2.08132
46,113,2.57133
46,118,1.8758
46,135,3.64329
46,148,5.65569
46,149,5.8667
47,56,0.339706
47,58,0.188958
47,127,2.77051
47,130,2.74457
47,134,3.69597
47,136,3.48817
47,139,4.36328
47,140,4.34494
47,145,5.1084
48,107,0.222457
48,114,1.01233
48,122,0.772214
48,130,1.98908
48,132,3.21956
48,138,4.51093
48,141,4.54574
48,144,5.29993
48,146,5.48908
49,91,0.160571
49,94,3.76348
49,114,0.753023
49,117,1.67331
49,126,2.44728
49,138,4.25162
49,143,4.74381
49,144,5.04062
49,146,5.22978
50,71,0.153904
50,95,0.836039
50,108,1.7908
50,122,2.26564
50,127,3.12233
50,139,4.71511
50,142,4.92486
50,145,5.46023
51,119,1.48319
51,130,2.4424
51,135,2.27392
51,145,2.66992
51,147,4.01729
51,148,4.28631
51,149,4.49732
51,150,4.54075
52,89,0.655707
52,93,0.0834
52,126,2.28602
52,132,2.79899
52,137,3.61138
52,143,4.58256
52,144,4.87937
52,146,5.06852
53,107,0.201419
53,117,1.16271
53,126,1.93668
53,136,4.02242
53,138,3.74102
53,141,3.77583
53,143,4.23321
53,144,4.53002
53,146,4.71917
54,75,4.15692
54,94,1.92085
54,98,1.64402
54,110,1.50608
54,113,2.59315
54,124,2.76882
54,125,2.78108
54,147,5.40849
54,148,5.67751
55,87,0.1122
55,109,1.07545
55,120,2.2643
55,130,3.50548
55,135,3.337
55,137,3.15298
55,147,5.08037
55,148,5.3494
55,150,5.60383
56,59,3.16228
56,99,0.578718
56,102,2.02843
56,108,2.40808
56,122,2.88292
56,128,3.27052
56,139,5.33239
56,142,5.54214
56,145,6.07751
57,66,0.595193
57,102,2.08696
57,124,3.5084
57,128,3.32906
57,133,4.52747
57,140,5.37258
57,142,5.60067
57,145,6.13604
58,65,0.0525437
58,86,0.0794928
58,108,2.4736
58,127,3.80513
58,134,4.73059
58,140,5.37956
58,142,5.60765
58,145,6.14303
59,97,0.793134
59,113,2.3808
59,116,2.1061
59,129,2.84327
59,130,3.62124
59,147,5.19613
59,148,5.46515
59,149,5.67616
60,78,1.59864
60,90,0.752415
60,101,0.834387
60,121,2.83487
60,123,2.9814
60,126,3.46669
60,132,3.97967
60,143,5.76323
60,146,6.24919
61,80,0.301816
61,117,1.50721
61,121,1.64936
61,129,3.29092
61,132,2.79415
61,137,3.60654
61,138,4.08552
61,143,4.57771
61,144,4.87452
61,146,5.06368
62,68,0.170258
62,75,0.215985
62,114,0.752499
62,136,4.4847
62,137,3.77212
62,138,4.2511
62,141,4.28591
62,143,4.74329
62,144,5.0401
62,146,5.22925
63,74,0.040307
63,89,0.544821
63,91,0.659416
63,105,2.21363
63,123,2.46083
63,132,3.45909
63,141,4.78528
63,143,5.24266
63,144,5.53947
63,146,5.72862
64,76,0.448566
64,98,2.34741
64,104,2.24218
64,114,0.255128
64,118,2.601
64,131,4.13112
64,144,7.80762
64,147,6.11187
64,148,6.38089
64,149,6.5919
65,84,0.777723
65,99,0.475216
65,112,1.94833
65,128,3.16702
65,134,4.56157
65,139,5.22888
65,140,5.21054
65,142,5.43863
65,145,5.974
66,96,0.779864
66,108,1.64851
66,127,2.98004
66,134,3.9055
66,136,3.69771
66,139,4.57282
66,140,4.55447
66,142,4.78256
66,145,5.31794
66,147,9.45568
67,72,1.06553
67,94,1.54484
67,119,2.49838
67,120,2.2164
67,124,2.39281
67,128,6.32121
67,130,3.45759
67,135,3.2891
67,148,5.3015
67,149,5.51251
67,150,5.55593
68,73,0.0163962
68,101,0.133449
68,132,3.27873
68,137,4.09112
68,138,4.5701
68,141,4.60491
68,143,5.06229
68,144,5.3591
68,146,5.54825
68,149,3.69674
69,81,0.996864
69,94,1.90001
69,101,7.00928
69,105,1.36434
69,129,3.03478
69,130,3.81275
69,131,3.40688
69,147,5.38764
69,149,5.86767
69,150,5.9111
70,79,0.0608423
70,80,2.58389
70,108,2.10057
70,127,3.4321
70,128,2.96301
70,133,4.16142
70,136,4.14976
70,139,5.02487
70,140,5.00653
70,145,5.77
71,78,2.77123
71,84,0.708171
71,102,1.85537
71,103,1.14983
71,128,3.09747
71,133,4.29588
71,139,5.15933
71,140,5.14099
71,142,5.36908
71,145,5.90445
72,76,0.94269
72,82,1.68738
72,83,1.69792
72,87,1.58983
72,89,0.974994
72,94,3.11836
72,124,3.96633
72,130,5.0311
72,147,6.606
72,150,7.12945
73,111,3.32688
73,114,1.16572
73,126,2.85998
73,132,3.37295
73,137,4.18534
73,138,4.66432
73,141,4.69913
73,143,5.15651
73,144,5.45332
73,146,5.64248
74,78,1.63283
74,80,1.13683
74,101,0.868575
74,121,2.86906
74,123,3.01559
74,129,4.28557
74,137,4.82624
74,138,5.30523
74,141,5.34003
74,144,6.09423
74,146,6.28338
75,78,1.23891
75,121,2.47514
75,126,3.10697
75,132,3.61994
75,137,4.43233
75,138,4.91131
75,141,4.94612
75,144,5.70031
75,146,5.88946
76,82,0.695207
76,98,1.84936
76,113,2.79849
76,119,3.07972
76,135,3.87045
76,147,5.61383
76,148,5.88285
76,149,6.09386
76,150,6.13728
77,88,0.157012
77,100,1.69771
77,120,2.18699
77,125,2.37565
77,130,3.42817
77,131,3.02231
77,135,3.25969
77,147,5.00306
77,148,5.27208
77,149,5.48309
77,150,5.52652
78,90,2.32171
78,101,2.40368
78,107,2.55186
78,114,3.34173
78,141,6.87514
78,144,7.62933
78,146,7.81848
79,95,1.63079
79,96,1.71691
79,103,1.50036
79,120,4.49587
79,133,4.64641
79,134,4.84254
79,139,5.50986
79,140,5.49152
79,142,5.71961
79,145,6.25498
80,93,1.50696
80,94,2.63652
80,138,6.34434
80,141,6.37915
80,143,6.83653
80,144,7.13334
80,146,7.32249
81,106,2.36381
81,109,2.88142
81,115,2.89014
81,116,3.79632
81,118,3.37548
81,119,4.35225
81,120,4.07028
81,131,4.9056
81,135,5.14298
81,141,2.61945
81,150,7.40981
82,105,2.33521
82,106,1.83597
82,123,0.821991
82,126,2.51931
82,129,4.00565
82,131,4.37776
82,147,6.35851
82,148,6.62753
82,149,6.83854
82,150,6.88197
83,86,4.68722
83,88,1.26622
83,92,2.54808
83,104,2.49937
83,113,3.55372
83,115,2.37284
83,120,3.55298
83,130,4.79417
83,132,0.345046
83,147,6.36906
83,148,6.63808
83,150,6.89251
84,99,1.36942
84,108,3.19878
84,127,4.53031
84,133,5.25963
84,136,5.24797
84,140,6.10474
84,142,6.33283
84,145,6.8682
85,96,1.04654
85,102,1.53553
85,112,1.55894
85,120,5.02617
85,122,2.39003
85,127,3.24672
85,133,3.97604
85,134,4.17218
85,136,3.96438
85,139,4.83949
85,140,4.82115
85,142,5.04924
85,145,5.58461
86,96,1.32997
86,108,2.19861
86,112,1.84236
86,127,3.53014
86,128,3.06105
86,133,4.25946
86,134,4.4556
86,139,5.12292
86,140,5.10458
86,142,5.33267
86,145,5.86804
87,94,2.77333
87,98,2.4965
87,104,2.39127
87,115,2.26475
87,119,3.72686
87,124,3.62129
87,125,3.63355
87,147,6.26096
87,148,6.52998
87,150,6.78442
88,100,2.86895
88,106,1.65175
88,110,2.27189
88,115,2.17808
88,119,3.6402
88,131,4.19354
88,135,4.43092
88,136,6.00964
88,147,6.1743
88,149,6.65433
88,150,6.69775
89,91,2.21603
89,107,2.01861
89,117,3.72877
89,123,4.01745
89,128,6.93625
89,137,5.8281
89,141,6.34189
89,143,6.79927
89,144,7.09608
89,146,7.28524
90,93,1.15673
90,107,1.70563
90,117,3.41579
90,121,3.55794
90,123,3.70447
90,125,5.09582
90,132,4.70273
90,137,5.51512
90,138,5.99411
90,143,6.4863
90,144,6.78311
91,115,3.02135
91,123,4.13204
91,126,4.61733
91,132,5.13031
91,137,5.9427
91,138,6.42168
91,141,6.45649
91,143,6.91387
91,146,7.39983
91,149,3.05881
92,100,4.1508
92,105,3.43285
92,115,3.45993
92,116,4.36611
92,120,4.64007
92,129,5.10328
92,130,5.88126
92,135,5.71277
92,143,5.47134
92,149,7.93618
93,114,2.17675
93,121,3.23919
93,126,3.87101
93,132,4.38398
93,135,4.42507
93,137,5.19637
93,138,5.67535
93,141,5.71016
93,143,6.16754
93,144,6.46435
93,146,6.65351
94,106,3.26695
94,111,3.87122
94,119,5.2554
94,147,7.7895
94,148,8.05852
94,149,8.26953
94,150,8.31296
95,103,2.68567
95,106,7.00928
95,112,3.41462
95,118,0.0233184
95,122,4.24571
95,128,4.63331
95,134,6.02786
95,136,5.82006
95,139,6.69517
95,140,6.67683
95,142,6.90492
95,145,7.44029
96,99,2.02763
96,103,2.77179
96,122,4.33183
96,127,5.18852
96,128,4.71943
96,133,5.91784
96,134,6.11398
96,139,6.78129
96,142,6.99104
96,145,7.52641
96,150,6.77443
97,100,3.56878
97,104,3.00444
97,111,2.95586
97,115,2.87791
97,118,3.36326
97,120,4.05805
97,125,4.24672
97,129,4.52127
97,131,4.89337
97,144,8.5999
97,147,6.87413
97,148,7.14315
97,150,7.39759
98,102,4.75077
98,115,3.51645
98,131,5.53191
98,132,2.1941
98,135,5.76929
98,147,7.51267
98,148,7.78169
98,149,7.9927
98,150,8.03612
99,102,2.51662
99,122,3.37111
99,126,5.94302
99,127,4.2278
99,128,3.75871
99,133,4.95712
99,134,5.15326
99,136,4.94547
99,139,5.82058
99,140,5.80223
99,142,6.03033
99,145,6.5657
100,109,3.96685
100,112,6.17344
100,115,3.97556
100,125,5.34437
100,129,5.61891
100,131,5.99102
100,135,6.2284
100,147,7.97178
100,148,8.2408
101,117,3.49777
101,121,3.63991
101,123,3.78644
101,126,4.27173
101,132,4.78471
101,137,5.5971
101,138,6.07608
101,141,6.11089
101,143,6.56827
101,144,6.86508
101,146,7.05423
102,103,3.26078
102,128,5.20842
102,133,6.40683
102,134,6.60297
102,136,6.39517
102,140,7.25194
102,142,7.48003
102,145,8.0154
103,113,2.87217
103,122,4.11528
103,127,4.97197
103,128,4.50288
103,133,5.70129
103,134,5.89742
103,136,5.68963
103,139,6.56474
103,142,6.77449
103,145,7.30986
104,105,3.38413
104,113,4.5921
104,118,3.89657
104,124,4.76777
104,125,4.78003
104,129,5.05457
104,148,7.67646
104,149,7.88747
104,150,7.9309
105,106,2.73128
105,109,3.2489
105,110,3.35142
105,120,4.43775
105,121,5.74469
105,125,4.62642
105,129,4.90096
105,135,5.51045
105,147,7.25383
105,149,7.73386
105,150,7.77728
106,109,2.74966
106,111,2.83631
106,119,4.22049
106,125,4.12718
106,130,5.1797
106,131,4.77383
106,135,5.01121
106,148,7.02361
106,149,7.23462
106,150,7.27804
107,113,6.0721
107,114,2.72566
107,117,3.64594
107,121,3.78809
107,123,3.93462
107,126,4.41991
107,132,4.93288
107,137,5.74527
107,141,6.25906
107,143,6.71645
107,144,7.01326
107,146,7.20241
108,122,5.20047
108,131,8.44835
108,133,6.78648
108,134,6.98262
108,136,6.77483
108,140,7.63159
108,142,7.85968
108,145,8.39506
109,110,3.3698
109,111,3.35393
109,118,3.76133
109,124,4.63253
109,125,4.64479
109,130,5.69731
109,131,5.29145
109,134,3.35171
109,144,8.31613
109,148,7.54122
109,149,7.75223
109,150,7.79566
110,111,3.45645
110,113,4.55939
110,115,3.37851
110,116,4.28469
110,119,4.84062
110,120,4.55865
110,124,4.73506
110,125,4.74732
110,135,5.63135
110,147,7.37472
110,148,7.64375
110,149,7.85475
111,116,4.26882
111,118,3.84799
111,119,4.82475
111,124,4.71919
111,130,5.78396
111,131,5.3781
111,135,5.61548
111,139,1.23102
111,140,5.33513
111,147,7.35886
111,149,7.83888
111,150,7.88231
112,122,4.84422
112,127,5.70091
112,128,5.23182
112,133,6.43023
112,134,6.62637
112,136,6.41858
112,139,7.29369
112,140,7.27535
112,142,7.50344
112,145,8.03881
113,115,4.46558
113,118,4.95092
113,120,5.64572
113,129,6.10893
113,131,6.48104
113,147,8.46179
113,148,8.73081
113,149,8.94182
114,117,4.43582
114,121,4.57796
114,122,8.70587
114,123,4.72449
114,126,5.20978
114,132,5.72276
114,137,6.53515
114,138,7.01413
114,141,7.04894
114,143,7.50632
114,144,7.80313
114,146,7.99228
115,116,4.19088
115,119,4.74681
115,125,4.65351
115,130,5.70602
115,135,5.53754
115,138,6.35782
115,147,7.28091
115,148,7.54994
115,149,7.76094
115,150,7.80437
116,118,4.67622
116,124,5.54742
116,125,5.55968
116,131,6.20634
116,134,11.067
116,140,1.47207
116,147,8.18709
116,148,8.45611
116,149,8.66712
116,150,8.71055
117,121,5.49825
117,123,5.64478
117,125,0.807612
117,126,6.13007
117,132,6.64304
117,137,7.45543
117,138,7.93442
117,141,7.96923
117,143,8.42661
117,144,8.72342
117,146,8.91257
117,148,10.1825
118,119,5.23216
118,124,5.12659
118,125,5.13885
118,129,5.4134
118,130,6.19137
118,135,6.02289
118,139,8.95564
118,142,3.24059
118,147,7.76626
118,148,8.03528
118,149,8.24629
118,150,8.28972
119,124,6.10336
119,129,6.39016
119,145,6.9487
119,146,4.533
119,147,8.74303
119,148,9.01205
119,149,9.22306
119,150,9.26649
120,129,6.10819
120,130,6.88616
120,131,6.4803
120,135,6.71768
120,138,1.99127
120,147,8.46105
120,148,8.73008
120,149,8.94108
120,150,8.98451
121,123,5.78693
121,126,6.27222
121,132,6.78519
121,137,7.59758
121,138,8.07656
121,141,8.11137
121,143,8.56875
121,144,8.86556
121,146,9.05471
122,127,6.532
122,128,6.06291
122,133,7.26133
122,134,7.45746
122,136,7.24967
122,139,8.12478
122,140,8.10644
122,142,8.33453
122,145,8.8699
123,126,6.41875
123,132,6.93172
123,137,7.74411
123,138,8.22309
123,140,12.7625
123,141,8.2579
123,143,8.71528
123,144,9.01209
123,146,9.20125
124,127,2.43513
124,129,6.2846
124,131,6.65671
124,135,6.89409
124,138,6.01035
124,147,8.63746
124,148,8.90648
124,149,9.11749
124,150,9.16092
125,130,7.07483
125,133,6.84615
125,135,6.90635
125,147,8.64972
125,148,8.91874
125,149,9.12975
125,150,9.17318
126,132,7.41701
126,137,8.2294
126,138,8.70838
126,141,8.74319
126,142,4.30307
126,143,9.20057
126,144,9.49738
127,128,6.9196
127,133,8.11802
127,134,8.31415
127,136,8.10636
127,139,8.98147
127,140,8.96313
127,142,9.19122
127,148,2.23812
127,150,9.06081
128,134,7.84506
128,136,7.63727
128,139,8.51238
128,140,8.49404
128,142,8.72213
128,145,9.2575
129,130,7.34937
129,131,6.94351
129,135,7.18089
129,141,7.13257
129,147,8.92427
129,148,9.19329
129,149,9.4043
129,150,9.44772
130,131,7.72148
130,137,10.0733
130,147,9.70224
130,148,9.97126
130,150,10.2257
131,135,7.553
131,148,9.5654
131,149,9.7764
132,137,8.74237
132,138,9.22136
132,141,9.25617
132,143,9.71355
132,144,10.0104
132,146,10.1995
132,148,13.9947
133,136,8.83568
133,139,9.71079
133,140,9.69245
133,142,9.92054
133,143,7.56345
133,145,10.4559
134,136,9.03182
134,139,9.90693
134,142,10.1167
134,145,10.652
135,141,8.7101
135,143,4.52148
135,147,9.53376
135,148,9.80278
135,149,10.0138
135,150,10.0572
136,139,9.69914
136,140,9.68079
136,142,9.90888
136,145,10.4443
137,141,10.0686
137,143,10.5259
137,144,10.8227
137,145,5.70072
137,146,11.0119
138,141,10.5475
138,143,11.0049
138,144,11.3017
138,146,11.4909
138,149,6.39529
139,140,10.5559
139,143,8.69654
139,145,11.3194
140,142,10.7657
140,145,11.301
141,143,11.0397
141,144,11.3365
141,145,4.93256
141,146,11.5257
142,145,11.5291
142,146,5.33622
142,149,12.221
143,144,11.7939
143,146,11.9831
144,146,12.2799
145,149,9.98347
146,148,6.98581
146,150,13.8085
147,148,11.5462
147,149,11.7572
147,150,11.8006
148,149,12.0262
148,150,12.0696
